en,hv
teen depression why . ,depresyon sa mga tin - edyer ngaa . 
what can help . ,ano ang makabulig sa ila . 
the compound heat shield of the saharan silver ant . ,ang panagang sa init sang saharan silver ant . 
do you have a feast constantly . ,may ara ka bala sing dalayon nga piesta . 
all the days of the afflicted one are bad but the one that is good at heart has a feast constantly . ,"ang tanan nga adlaw sang napiotan malaut , apang ang malipayon sing tagiposoon may dalayon nga piesta . "
what do those words mean . ,ano ang buot silingon sini . 
they refer to one ' s mental and emotional state . ,nagapatuhoy ini sa mental kag emosyonal nga kahimtangan sang isa . 
"the afflicted one dwells on the negative an outlook that makes his days bad , or dismal . ","ang mga napiotan pirme lang negatibo ang ginahunahuna , ang pagtamod nga nagapalain ' ukon nagapasubo sang iya adlaw . "
"by contrast , the one who is good at heart tries to focus on the positive an attitude that fosters inner joy , giving him a feast constantly . ","sa kabaliskaran , ang isa nga malipayon sing tagiposoon , positibo sing panghunahuna , isa ka panimuot nga nagapalipay , nga nagahatag sa iya sing dalayon nga piesta . "
we all have problems that can rob us of a measure of happiness . ,tanan kita may mga problema nga nagadula sang aton kalipay . 
"yet , we may be able to do certain things that help us to retain our joy through difficult times . ",pero may mahimo kita para mangin malipayon bisan sa mabudlay nga kahimtangan . 
consider what the bible says . ,binagbinaga ang ginasiling sang biblia . 
do not let anxieties over tomorrow weigh you down today . ,indi pagtuguti nga mabug - atan ka sang tuman nga kabalaka kon ano ang matabo buas . 
jesus christ said do not worry about tomorrow it will have enough worries of its own . ,"nagsiling si jesucristo indi kamo magpalibog parte sa buwas , kay ang buwas may kaugalingon nga palaligban . "
there is no need to add to the troubles each day brings . ,indi kinahanglan nga dugangan pa ninyo ang palaligban nga nagaabot sa kada adlaw . 
try to focus on the good things that have happened to you . ,pamensara ang maayo nga mga butang nga natabo sa imo . 
"in fact , when you feel down , why not make a list of those good things and reflect on them . ","ang matuod , kon nasubuan ka , puede ka maghimo sing listahan sang maayo nga mga butang nga natabo sa imo kag pamensaran ini . "
"also , do not dwell on past mistakes or bad deeds . ",indi pagpamensara pirme ang imo mga sala kag malain nga nahimo . 
"learn from them , and move on . ",magtuon gikan sa sini kag pabay - i na lang . 
be like a driver who glances into his rearview mirror but does not focus on it . ,iluga ang drayber nga nagapasiplat sa rearview mirror pero wala nagapokus sa sini . 
"keep in mind , too , that there is the true forgiveness with god . ",tandai man nga may pagpatawad sa dios . 
"when anxieties weigh you down , confide in someone who may be able to cheer you up . ","kon ginapabug - atan ka sing tuman nga kabalaka , isugid ini sa isa nga mahimo makapahalipay sa imo . "
that good word may come from a family member or a trusted friend someone who is not cynical or pessimistic but is loving all the time . ,"inang maayong pulong ' mahimo maghalin sa miembro sang pamilya ukon sa ginasaligan nga abyan , ang isa nga indi negatibo kundi nagahigugma sa tanan nga tion . "
"the wise sayings found in the bible have helped many to find more joy in life , even through trying times . ","ang maalamon nga mga hulubaton sa biblia nakabulig sa madamo nga mangin malipayon sa kabuhi , bisan pa mabudlay ang kahimtangan . "
may those precious sayings help you too . ,kabay nga makabulig man ini sa imo . 
"for those who have never suffered the loss of an unborn baby in this way , it may be difficult to imagine the feelings of those who have . ","sa mga wala nakaeksperiensia sing kasakit nga mapatyan sing lapsag , mabudlay nila mahangpan ang balatyagon sang isa nga nakaeksperiensia sini . "
some parents grieve such losses intensely . ,grabe gid ang pagpangasubo sang pila ka ginikanan nga namatyan sing lapsag . 
one mother lost five children before they were born . ,may isa ka iloy nga namatyan sing lima ka lapsag antes ini mabun - ag . 
"in time , she felt blessed to raise two healthy sons . ","sang ulihi , nalipay sia nga ang nagsunod niya nga duha ka bata nagdaku subong mapagros nga mga bata nga lalaki . "
"yet , she remembered each loss . ","apang , indi niya gihapon malimtan ang iya mga lapsag nga nahulog . "
"to the end of her days , she knew just how old her stillborn and miscarried babies would have been had they survived . ","tubtob buhi sia , nahibaluan niya kon pila na kuntani ang edad sang iya napatay nga mga lapsag . "
do such christians have a basis for hoping in a resurrection to restore what they have lost . ,ini bala nga mga cristiano makapaabot nga mabanhaw pa ang ila napatay nga mga lapsag . 
the simple answer to the question is that we do not know . ,ang simple nga sabat wala kita nakahibalo . 
the bible never directly addresses the matter of a resurrection for babies who were stillborn or lost through a miscarriage . ,ang biblia wala direkta nga nagasiling nga pagabanhawon ang mga lapsag nga nahulog ukon nabun - ag nga patay . 
"nonetheless , god ' s word does contain principles that bear on the question and that may offer a measure of comfort . ","apang , ang pulong sang dios may mga prinsipio nga makabulig sa pagsabat sa sini nga pamangkot kag makahatag sing lugpay . "
let us consider two related questions . ,binagbinagon naton ang duha ka pamangkot may kaangtanan sa sini . 
"first , from jehovah ' s viewpoint , when does the life of a human begin at conception or at birth . ","una , sa pagtamod ni jehova san - o bala nagasugod ang kabuhi sang tawo sa pagpanamkon ukon sa pagkabun - ag . "
"second , how does jehovah view the unborn as unique individuals or as mere collections of cells and tissue in a woman ' s womb . ","ikaduha , paano ginatamod ni jehova ang wala pa mabun - ag nga lapsag isa bala ka pinasahi nga indibiduwal ukon isa lamang ka grupo sang mga selula sa tiyan sang iloy . "
bible principles give clear answers to both questions . ,ang mga prinsipio sa biblia nagahatag sing maathag nga mga sabat sa sining duha ka pamangkot . 
"the mosaic law clearly revealed that life begins , not at birth , but much earlier . ","suno sa kasuguan nga ginhatag sang dios kay moises , ang kabuhi nagasugod indi sa pagkabun - ag kundi sing mas temprano pa . "
it showed that killing a fetus could incur the death penalty . ,ginpakita sini nga pagasilutan sing kamatayon ang nagapatay sang isa ka fetus . 
note this law you must give soul for soul . ,ining kasuguan nagasiling magabayad ka sing kabuhi sa kabuhi . 
